文档编号,文档内容
D01,TF-IDF通过词频和逆文档频率衡量关键词重要性，常用于传统信息检索的初始排序。
D02,BM25在关键词匹配基础上考虑词频饱和和文档长度，是搜索引擎中稳健的稀疏检索基线。
D03,语义重排序先召回候选文档，再利用句向量和余弦相似度重新评估相关性。
D04,RAG系统通常由文档切分、向量索引、检索召回、重排序和答案生成几个环节组成。
D05,Cross-Encoder把查询和候选文档同时输入模型，能够进行更精细的相关性判断，但推理成本较高。
D06,Sentence-BERT使用孪生网络结构生成句向量，使语义相似度计算可以通过向量余弦完成。
D07,向量数据库支持近似最近邻搜索，适合在大规模语料中快速找到语义相近的文本片段。
D08,倒排索引记录词项到文档的映射关系，是关键词检索系统能够快速响应查询的基础。
D09,Top-K命中率关注正确文档是否出现在前K个结果中，适合评估检索召回质量。
D10,MRR根据第一个相关结果的排名计算倒数平均值，可以反映首个有用结果出现得是否靠前。
D11,nDCG考虑相关文档在排序列表中的位置折损，常用于搜索排序效果评价。
D12,查询扩展通过加入同义词或相关词缓解词汇不匹配问题，提高召回的覆盖范围。
D13,学校图书馆检索系统既需要快速召回，也需要把最符合读者意图的资料排在前面。
D14,智能问答场景中，排序错误会导致模型读取无关上下文，从而降低回答准确性。
D15,混合检索结合稀疏关键词匹配和稠密向量匹配，在工程系统中常用于兼顾效率与语义理解。
D16,学习排序方法利用点击日志或人工标注训练排序模型，使结果更符合用户偏好。
D17,大语言模型可以用于生成查询改写，也可以作为重排序器判断候选文本是否回答了问题。
D18,小规模实验可使用自构中文语料，通过查询、相关文档和排序指标验证方法有效性。
D19,余弦相似度通过计算两个向量夹角来衡量文本表示之间的接近程度。
D20,潜在语义分析利用矩阵降维发现词项之间的隐含联系，是早期语义检索的重要方法。
D21,多模态检索需要同时处理文本、图像和音频等对象，排序阶段更依赖统一表示空间。
D22,企业知识库问答要求检索结果准确可追溯，因此候选文档的重排质量非常关键。
D23,稠密检索把文本编码为连续向量，能够捕捉部分同义表达和上下文信息。
D24,传统关键词模型对短查询十分敏感，当用户使用近义表达时可能把真正相关文档排在后面。
D25,检索增强生成通过外部知识补充模型参数知识，可缓解知识过时和幻觉问题。
D26,信息检索系统通常包含索引构建、候选召回、排序优化和结果展示等模块。
D27,排序质量直接影响用户体验，首屏结果是否相关决定用户是否继续使用系统。
D28,在教学实验中，使用固定随机种子和公开代码可以提高实验复现性。
D29,人工评测可从相关性、可读性和覆盖度等角度补充自动指标的不足。
D30,检索系统的效率与效果需要平衡，复杂模型通常带来更高延迟。
D31,文档切分粒度会影响RAG系统召回内容的完整性与噪声比例。
D32,向量归一化后再计算相似度，可以减少文本长度差异对排序的干扰。
D33,布尔检索使用逻辑运算组合关键词，表达能力清晰但难以给出细粒度排名。
D34,搜索日志中的点击和停留时长可为排序模型提供弱监督信号。
D35,问答系统更关注答案依据是否出现在靠前文档中，而不仅是整个候选集中是否存在。
D36,使用同义词归一能够让搜索、查找和检索等表达映射到相近空间。
D37,中文文本缺少天然空格，字符n-gram特征可以在不分词条件下构造可用的检索表示。
D38,评价检索排序时应同时报告Top-1、Hit@K、MRR和nDCG，避免单一指标片面化。
D39,语义匹配模型在开放领域数据上表现较好，但在专业领域仍可能需要领域适配。
D40,候选集大小会影响重排序上限，初始召回阶段漏掉相关文档时后续模型无法补救。
